planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
1RXS 1609 b,14,1.7,330,1RXS 1609,0.73,1.35,0.011,4060,1800
24 LMi b,0.0541,0.2221,0.58,24 LMi,1.25,1.54,1.9,5861,460
2MASS J1315-2649 b,28,0.91,6.6,2MASS J1315-2649,0.074,0.084,0.9,1770,670
54 Psc c,53,0.8,476,54 Psc,0.79,0.947,5.13,5173,810
AF Lep b,2.8,1.33,8.2,AF Lep,1.2,1.25,0.024,6130,1800
AU Mic b,0.116,0.4571,0.08305,AU Mic,0.5,0.75,0.022,3700,569.5
AU Mic c,0.101,0.28,0.1417,AU Mic,0.5,0.75,0.022,3700,436
BD+20 594 b,0.07,0.23,0.241,BD+20 594,1.67,1.08,3.34,5766,386
BD+60 1417 b,15,1.31,1662,BD+60 1417,1,0.797,0.1,4993,1303
beta Pic c,8.89,1.2,2.68,beta Pic,1.73,1.8,0.04,8052,1250
CFHTWIR-Oph 98 b,7.8,1.86,200,CFHTWIR-Oph 98,0.0154,0.24,0.003,2320,1800
COCONUTS-2 b,6.4,1.12,6471,COCONUTS-2A,0.37,0.388,0.475,3406,434
CoRoT-22 b,0.06,0.4354,0.092,CoRoT-22,1.099,1.136,3.3,5939,885
CoRoT-24 b,0.018,0.33,0.056,CoRoT-24,0.91,0.86,11,4950,1070
CoRoT-24 c,0.088,0.44,0.098,CoRoT-24,0.91,0.86,11,4950,850
CoRoT-27 b,10.39,1.007,0.0476,CoRoT-27,1.05,1.08,4.21,5900,1500
CoRoT-35 b,1.1,1.68,0.0429,CoRoT-35,1.01,1.65,6.1,6390,1747
CoRoT-36 b,0.68,1.41,0.066,CoRoT-36,1.32,1.52,2.1,6730,1567
EPIC 219388192 b,36,0.846,0.0593,EPIC 219388192,0.99,1.01,3.9,5850,1164
eta CrB (AB)b,50.1,0.97,3600,eta CrB,1.19,1.24614,1.75,6028.7,1295
G 9-40 b,0.013,0.17,0.0418,G 9-40,0.29,0.31,9.9,3348,440.6
